	diametro	reticular	sazonalidade	modos
Ischnocnema_guentheri	247,1565	2,20054052	1	0
Ischnocnema_juipoca	300,659606	1,596695284	0	0
Dendropsophus_jimi	181,43263	0,984091956	0	1
Dendropsophus_nanus	178,1251974	1,673508968	1	1
Dendropsophus_minutus	217,638872	2,2912197	1	1
Hypsiboas_latistriatus	441,7373	1,1655	0	1
Hypsiboas_prasinus	317,1084	1,4485	1	1
Scinax_fuscomarginatus	208,11419	0,910445828	1	1
Scinax_fuscovarius	196,4493	1,3115	1	1
Scinax_similis	224,9639	1,4999	1	1
Rhinella_schneideri	245,082	1,2236	1	1
Physalaemus_centralis	180,584	1,929	1	4
Physalaemus_cuvieri	204,168	1,5125	1	4
Physalaemus_marmoratus	212,0545	2,8004	0	4
Eupemphix_nattereri	249,9028	1,6645	1	4
Physalaemus_olfersii	286,4875	2,0458	1	4
Pseudopaludicola_murundu	165,578	2,4121	1	1
Pleurodema_tucumanum	100,768	1,1656	0	1
Adenomera_bokermanni	256,0048	1,2422	0	4
Leptodactylus_furnarius	192,1364558	1,168354342	1	4
Leptodactylus_fuscus	206,9294	1,0192	1	4
Leptodactylus_latinasus	175,2658	0,7266	0	4
Leptodactylus_mystaceus	267,3157	1,2723	0	4
Leptodactylus_mystacinus	239,4355	1,3617	0	4
Leptodactylus_podicipinus	448,1763	1,1289	1	4
Odontophrynus_americanus	380,6267	1,1062	0	1
Proceratophrys_melanopogon	242,916	1,0897	1	3
Proceratophrys_boiei	296,483	1,2659	0	1
Crossodactylus_caramaschii	402,6771	2,6384	1	3
Hylodes_cardosoi	414,6534	2,9428	1	3
Hylodes_sazimai	280,8029	2,5255	1	3
Elachistocleis_cesarii	203,408746	0,901858614	1	1
Crossodactylus_gaudichaudii	463,399254	1,408184388	1	3
Rhinella_ornata	216,376164	1,022976674	0	1
Dermatonotus_muelleri	164,874058	1,076605228	1	1
