X	altnad	comptotal	posolhos	formcorp	posabertoral	totalfildent	flagelo
Rorn	1.55	20.15	0	1	0	5	0
Aeug	2.21	47.78	0	1	0	6	0
Bhyl  	1.28	33.47	0	1	1	6	0
Dber	0.76	19.48	1	1	1	2	1
Dele	2.14	33.50	1	3	2	1	1
Dmin	2.03	27.86	1	2	2	3	1
Halb	3.62	49.16	0	0	0	4	0
Hfab	6.24	59.65	0	0	1	6	0
Salt	2.40	31.45	1	3	1	5	0
Sarg	1.18	18.14	0	1	0	5	0
Shay	3.65	29.02	1	2	1	5	0
Sper	2.88	31.31	1	2	1	5	0
Stra	1.34	25.44	1	1	0	5	0
Tmes	2.11	31.78	1	1	0	11	0
Llat	3.17	47.70	0	0	1	5	0
Patl	1.34	18.63	0	1	0	5	0
Ccar	1.82	20.31	1	1	2	0	1
Eova	0.85	24.4	1	1	2	0	0
