	Habitat	OsmoHem	LLI	OsmoLLI	LLS	OsmoLLS	PI	Hyper	Hypo	Clade	Hedgpeth
thayeri	529.0	770.0	99.0	673.0	1783.0	1153.0	765.0	0.87	0.61	1	2
vocator	305.0	653.0	0.0	558.0	2038.0	967.0	659.0	0.85	0.85	1	1
rapax	476.0	778.0	0.0	680.0	2475.0	1195.0	762.0	0.89	0.74	1	2
longisignalis	367.0	685.0	0.0	585.0	2230.0	1230.0	693.0	0.84	0.65	1	2
burgersi	349.0	670.0	0.0	608.0	1924.0	1218.0	669.0	0.91	0.56	1	2
mordax	150.0	558.0	0.0	492.0	1453.0	1057.0	579.0	0.84	0.44	1	1
pugnax	763.0	805.0	100.0	700.0	2700.0	1600.0	879.0	0.77	0.6	1	3
panacea	548.0	796.0	0.0	660.0	2975.0	1440.0	822.0	0.75	0.71	1	2
pugilator	694.0	850.0	0.0	620.0	3270.0	1660.0	816.0	0.76	0.66	1	3
subcylindrica	882.0	785.0	100.0	800.0	3200.0	1520.0	845.0	0.94	0.71	1	3
minax	70.0	600.0	0.0	570.0	2000.0	1590.0	667.0	0.86	0.31	1	1
uruguayensis	500.0	759.0	0.0	610.0	2307.0	1360.0	748.0	0.89	0.6	1	2
speciosa	1149.0	903.0	0.0	700.0	2958.0	1220.0	822.0	0.85	0.81	1	4
spinicarpa	387.0	644.0	0.0	600.0	2030.0	1130.0	682.0	0.88	0.67	1	2
cumulanta	385.0	702.0	151.0	645.0	1905.0	1006.0	752.0	0.84	0.79	1	2
leptodactyla	609.0	787.0	33.0	620.0	2585.0	1303.0	800.0	0.77	0.71	1	2
victoriana	338.0	670.0	0.0	602.0	1825.0	1036.0	676.0	0.89	0.64	1	3
lactea	1083.0	830.0	15.0	500.0	1800.0	1700.0	895.0	0.55	0.11	2	4
inversa	1260.0	1177.0	150.0	763.0	1350.0	1226.0	1080.0	0.66	0.46	2	4
vocans	1179.0	812.0	15.0	450.0	1800.0	1750.0	911.0	0.49	0.06	2	4
arcuata	339.0	715.0	0.0	590.0	1350.0	1230.0	906.0	0.65	0.27	2	2
formosensis	1257.0	875.0	15.0	500.0	1800.0	1510.0	1009.0	0.49	0.37	2	4
maracoani	606.0	835.0	153.0	713.0	1786.0	1277.0	912.0	0.75	0.57	3	2
major	1129.0	997.0	91.0	750.0	2672.0	1280.0	930.0	0.79	0.8	3	3
