habitat;microhabitat;tipos_notas;notas_canto;F_max;F_min;F_dom;Var_freq;duracao_canto;n_pulsos;seas_repro
Bokermannohyla_ahenea;3;2;2;3.566666667;1717.933333;536.0533333;1240.313333;1181.756667;1.2794;66.36666667;1
Bokermannohyla_circumdata;3;1;1;3;1597.915;629.71;1044.375;968.215;0.1282;3.9;1
Aplastodiscus_perviridis;3;2;1;1;2371.444545;1742.832727;2054.664545;628.6336364;0.134672727;1;1
Hypsiboas_bandeirantes;3;2;1;1;5658.853333;4167.433333;4857.893333;1491.393333;0.123666667;20.8;2
Scinax_hayii;3;2;1;1;3215.92;492.2266667;861.3;2723.633333;0.260866667;10.06666667;1
Scinax_duartei;3;2;1;1;3554.983333;1668.806667;3123.75;1894.466667;0.302766667;8.166666667;2
Scinax_squalirostris;1;2;1;1;4982.52;2375.6;3540.03;2606.86;0.46625;12.85;2
Dendropsophus_microps;3;2;1;1;5100.92;3894.39;4478.9;1206.535;0.44375;34.5;2
Dendropsophus_minutus;3;2;1;1;6056.719048;3242.033333;4872.647619;2813.32381;0.134619048;17.95238095;2
Dendropsophus_elegans;1;2;2;2;4099.426667;2307.82;3152.453333;1791.56;0.1336;12.73333333;1
Trachycephalus_imitatrix;2;1;1;1;1859.665;477.93;999.13;1384.215;0.12305;11.5;1
Physalaemus_barrioi;1;1;1;1;4202.4;327.855;2373.116667;3874.545;1.239583333;1;2
Physalaemus_cuvieri;1;1;1;1;2312.81;397.84;648.155;1896.92;0.2708;1;1
Physalaemus_olfersii;2;1;1;1;2624.066667;1277.8;1933.188889;1407.977778;258.9063333;1;1
Proceratophrys_melanopogon;2;3;1;1;1278.188;663.268;995.688;614.924;0.58028;29.92;1
Rhinella_icterica;3;1;1;1;851.0666667;253.5866667;525.4;597.4666667;10.70426667;66.86666667;2
Scinax_eurydice;1;2;1;1;4540;150;3100;4390;0.11;3;1
Leptodactylus_furnarius;1;3;1;1;3300;2700;3067;600;0.035;0;1
Chiasmocleis_mantiqueira;1;3;1;1;4944.23;1884.06;3146.2;3060.17;0.04;0;1
