"","x","y","z"
"t1","b","b","a"
"t2","a","a","a"
"t3","b","b","b"
"t4","a","a","a"
"t5","b","b","a"
"t6","a","a","a"
"t7","a","a","a"
"t8","b","b","b"
"t9","a","a","b"
"t10","b","b","b"
"t11","b","b","b"
"t12","a","a","b"
"t13","a","a","b"
"t14","b","b","b"
"t15","a","a","b"
"t16","a","b","a"
"t17","a","a","a"
"t18","a","a","b"
"t19","a","a","a"
"t20","a","a","b"
"t21","b","a","b"
"t22","b","a","b"
"t23","a","a","b"
"t24","a","a","b"
"t25","a","a","b"
"t26","a","b","a"
"t27","a","a","b"
"t28","a","a","b"
"t29","a","b","a"
"t30","a","b","b"
"t31","a","a","a"
"t32","a","a","a"
"t33","a","a","a"
"t34","a","a","b"
"t35","a","a","b"
"t36","a","a","b"
"t37","b","b","b"
"t38","b","a","b"
"t39","b","b","b"
"t40","a","a","b"
"t41","a","b","a"
"t42","a","a","a"
"t43","b","b","a"
"t44","a","a","b"
"t45","a","a","a"
"t46","a","a","b"
"t47","a","b","b"
"t48","a","a","a"
"t49","b","b","b"
"t50","b","b","b"
"t51","a","a","a"
"t52","a","a","b"
"t53","a","a","b"
"t54","b","b","b"
"t55","a","a","b"
"t56","a","a","b"
"t57","a","a","b"
"t58","a","a","b"
"t59","a","a","b"
"t60","a","a","b"
"t61","a","b","b"
"t62","b","b","b"
"t63","a","a","b"
"t64","a","a","b"
"t65","a","a","b"
"t66","b","b","b"
"t67","b","a","b"
"t68","a","a","a"
"t69","a","a","a"
"t70","a","a","a"
"t71","a","a","a"
"t72","a","a","b"
"t73","a","a","a"
"t74","b","b","a"
"t75","a","a","a"
"t76","a","a","a"
"t77","b","a","b"
"t78","a","a","a"
"t79","b","b","a"
"t80","a","a","b"
"t81","b","b","a"
"t82","a","a","b"
"t83","a","a","b"
"t84","a","a","b"
"t85","a","a","b"
"t86","b","a","b"
"t87","b","a","b"
"t88","a","a","b"
"t89","a","b","b"
"t90","a","a","b"
"t91","b","b","b"
"t92","b","b","b"
"t93","b","b","b"
"t94","b","b","a"
"t95","b","b","a"
"t96","a","b","b"
"t97","a","a","a"
"t98","a","a","a"
"t99","b","a","b"
"t100","a","a","b"
"t101","a","a","a"
"t102","a","a","b"
"t103","a","a","b"
"t104","b","b","b"
"t105","b","a","a"
"t106","a","a","b"
"t107","a","a","b"
"t108","a","a","b"
"t109","b","b","b"
"t110","a","b","b"
"t111","a","a","b"
"t112","a","a","b"
"t113","a","a","b"
"t114","a","a","b"
"t115","a","a","b"
"t116","b","a","a"
"t117","b","b","a"
"t118","a","b","b"
"t119","b","b","b"
"t120","a","a","b"
"t121","b","b","b"
"t122","b","b","b"
"t123","b","a","b"
"t124","b","b","b"
"t125","b","b","b"
"t126","a","a","a"
"t127","a","a","a"
"t128","a","a","b"
"t129","b","b","a"
"t130","a","a","b"
"t131","a","a","b"
"t132","a","a","b"
"t133","a","a","a"
"t134","a","a","b"
"t135","b","b","a"
"t136","b","b","b"
"t137","b","b","a"
"t138","a","a","b"
"t139","a","a","b"
"t140","a","a","b"
"t141","a","a","b"
"t142","a","a","b"
"t143","a","a","b"
"t144","a","a","a"
"t145","a","a","a"
"t146","a","a","b"
"t147","b","b","b"
"t148","b","b","b"
"t149","a","a","b"
"t150","a","b","b"
"t151","a","a","b"
"t152","a","b","b"
"t153","a","a","b"
"t154","a","b","b"
"t155","a","b","b"
"t156","a","a","b"
"t157","a","a","b"
"t158","a","a","b"
"t159","a","a","b"
"t160","a","a","a"
"t161","a","a","b"
"t162","a","a","a"
"t163","a","a","b"
"t164","b","a","b"
"t165","b","b","b"
"t166","b","a","a"
"t167","b","a","a"
"t168","a","a","b"
"t169","a","a","b"
"t170","b","b","b"
"t171","b","b","b"
"t172","b","b","a"
"t173","b","b","a"
"t174","a","a","a"
"t175","b","b","a"
"t176","b","b","a"
"t177","b","b","b"
"t178","b","b","b"
"t179","a","a","b"
"t180","a","a","b"
"t181","a","a","b"
"t182","a","a","b"
"t183","a","a","b"
"t184","a","a","a"
"t185","a","a","b"
"t186","a","a","b"
"t187","a","a","b"
"t188","b","b","a"
"t189","b","b","a"
"t190","a","a","b"
"t191","a","a","b"
"t192","b","b","b"
"t193","b","b","b"
"t194","a","b","b"
"t195","a","b","b"
"t196","b","a","b"
"t197","b","b","a"
"t198","b","b","b"
"t199","b","b","b"
"t200","b","b","b"
"t201","a","a","b"
"t202","a","a","b"
"t203","a","a","b"
"t204","a","a","b"
"t205","a","a","b"
"t206","a","a","a"
"t207","b","a","b"
"t208","a","a","b"
"t209","a","a","b"
"t210","a","a","a"
"t211","b","a","a"
"t212","b","b","b"
"t213","a","b","a"
"t214","a","a","a"
"t215","a","b","b"
"t216","a","b","b"
"t217","b","a","b"
"t218","b","a","b"
"t219","a","b","b"
"t220","a","a","b"
"t221","a","a","b"
"t222","b","b","b"
"t223","b","b","b"
"t224","b","a","b"
"t225","b","a","b"
"t226","b","b","a"
"t227","b","b","a"
"t228","a","a","b"
"t229","a","a","b"
"t230","b","b","b"
"t231","a","b","b"
"t232","a","a","b"
"t233","a","a","b"
"t234","a","a","a"
"t235","a","a","a"
"t236","a","a","a"
"t237","a","a","a"
"t238","a","a","b"
"t239","b","b","b"
"t240","b","b","b"
"t241","a","a","b"
"t242","a","a","b"
"t243","b","b","b"
"t244","b","b","b"
"t245","a","b","b"
"t246","a","b","b"
"t247","a","a","b"
"t248","a","a","b"
"t249","a","a","b"
"t250","a","a","b"
"t251","a","a","b"
"t252","a","b","b"
"t253","a","b","b"
"t254","b","b","b"
"t255","b","b","b"
"t256","b","a","b"
